,review_text,review_date,review_title,review_stars,review_flavor
0,"The media could not be loaded.
                



 I have two of these in an insulated garage.  The garage is large (3 car) and has windows in the west facing garage doors which allows the sun to help warm it in the winter.  I only had one 15 amp circuit servicing the wall outlets in the garage so tapped into an outlet on the opposite interior wall that was on a separate 15 amp circuit and installed an additional outlet.  That lets me run two units in the garage.  I tell Alexa to turn them on about a half hour before I want to go out and work in the garage and by the time I go out the temperature is up to 66 or 67.  We've had temperatures in the upper teens at night but our garage never gets below 50.  I do not leave these units on all the time.  I just turn them on if I'm going to be working in the garage.","Reviewed in the United States on November 9, 2019",Excellent heat for an insulated garage.,5.0 out of 5 stars,Color: Wifi
1,"My daughter lives in my basement, so I needed a heater that would work in about 410 sq feet. I also wanted it to be wall mounted, and the fact that this one worked with wifi was a plus! We've been using this heater for about two weeks, and it's been getting pretty cold at night. This heater has been doing it's job! My daughter loves that she can set a schedule and change the temp from her phone. The remote works fine, but she prefers using her phone because it's so easy and is always with her. We didn't have any trouble at all setting up the wifi or using the app. This is supplemental heat; however, it gets pretty cold in the basement. There is only one heat duct down there, so most of the heat from the forced air furnace goes upstairs. The fact that the heater is up on the wall instead of sitting on a table or the floor means we don't have to worry about it tipping over or items getting pushed up against it. The thermostat seems to be pretty accurate, unlike other heaters we've purchased. It's extremely quiet, and again, being up on the wall helps to heat the space more evenly. So far, this heater is doing a great job and is much better than others we've purchased.","Reviewed in the United States on October 23, 2019",Great Heater for the Basement,5.0 out of 5 stars,Color: Wifi
2,I’ve been fooling around with several different types of space heaters for my RV to save on the expense of propane and none of them were able to keep up with the demand in colder weather. Additionally it’s difficult to find a heater with a built in thermostat. Well this one has it all. It is efficient. It keeps us very warm and it regulates beautifully. This far I am more than satisfied. I’ve only used it on one trip but do use it regularly as I keep the camper heated Year round. If anything changes I will update but as for now this is the best heater ive used so far and the list is long and expensive of the ones I have tried prior to the Heat Storm.BTW I bought 2. One for the living room and one for the bedroom.,"Reviewed in the United States on March 27, 2018",Success!!! RV propane alternative. Love it!,5.0 out of 5 stars,Color: White
3,Used to offset boiler usage in small house and I ran it consistently over last winter ..... very affective and had minimal impact on electrical bill .... super efficient,"Reviewed in the United States on November 17, 2019",Great for cold room or not warm enough large area,5.0 out of 5 stars,Color: Wifi
4,"Just a heads up, if you do not plan to wall mount this unit and you buy the WiFi model, you will need to purchase the feet from the manufacturer’s website for $9. Otherwise I’m quite pleased so far. Quality is good. Unit is quiet. Heats up fast. WiFi was easy to set up, stays connected and reconnects automatically after power interruption. Will edit this later if for some reason it fails to perform when the temps drop in the next few weeks.Mid winter update : it’s still great. Happy with it and would buy again.","Reviewed in the United States on October 10, 2019",WiFi model does not come with feet.,4.0 out of 5 stars,Color: Wifi
5,"The hearer arrived and was dead out of the box. However there was a big sign on it with their customer service number. I called and they sent me a return label as well as shipping out a new unit. The new one works great! I love the idea of being able to hang it on the wall and will probably mount it before next winter. For now, I am using it on the floor. I will only buy infrared heaters. They are economical and cost effective. I have a loft bedroom without a heat source. This heater supplements the heat rising from the floor below to make the loft warm and toasty even on below zero days. I'm glad I took a chance on this brand and will buy from them again.","Reviewed in the United States on February 23, 2018",Awesome heater!,5.0 out of 5 stars,Color: White
6,After a month this heater burned my power outlets. Scorched and brown. Plug was starting to melt. I thought maybe it was the outlet so I had it replaced with one more durable with a higher amperage rating and that one looked scorched as well by the plug. This heater either draws more than 1500 watts OR the cable/plug attached to the heater is not capable of supporting the electrical load to run this heater. This is my 4th Heat Storm as I own 3 of the smaller units ($85/each) that max out at 1000 watts and even those have had random small design issues. I'm completely disappointed because these work so incredibly well and blend in with my home decor. They're supposed to be much safer than a ceramic or forced air heater too.,"Reviewed in the United States on March 9, 2020",Fire Hazard,1.0 out of 5 stars,Color: Wifi
7,"If you're on the fence, then im pushing you over! I love this product! Its super lightweight and not bulky. It runs quietly, verses other heaters that make a loud noise when they run. The included level made it incredibly easy to mount and keep out of reach of our wandering toddler. I will definitely be buying more for the rest of my house!Update: after several months of use, i can now see that my winter electric bills on average have been about 13% than last year using other space heaters, and our home is much more comfortable! Ive bought two so far and will be buying more for other rooms of my house!","Reviewed in the United States on October 25, 2019",Fantastic! Great value and great product!,5.0 out of 5 stars,Color: White
8,"1st of all I have no training in household electric circuits. I am however a retired aircraft technician. I can tell you that a product manufacturer who sold a product thats wiring melted or burned electric receptacles would be sued out of business. So I purchased and installed the wifi unit in the best practical place for my family/TV room which is in my daylight basement and is very difficult to heat with my homes relatively new central heating system. I have 1 small space heater that does not quite do the job. After I installed the Heat Storm heater I realized the electric cord was a foot too short to reach my electric plug behind a designed space I had built for hiding wiring and giving access to electronic repair services. I had a few spare 1 foot 16 awg extension cords,and against the manufacturers warning I connected one. I set the heat storm to 70° f auto, and voila everything seemed great no burned or hot cords. One evening it was a little cooler than usual and the Heat Storm seemed to be struggling to stay on 70°f, I selected high instead of auto. After a few minutes I checked the wiring and just the 1 foot extension was extremely hot. So I unplugged the heat Storm and started digging into the electric requirements of the heater. It requires a minimum 1500 watt electric supply, that an average household circuit can easily handle. The problem was that the 1 foot 16awg extension cord drawing 1500 watts cannot handle this load and is dangerous. To be completely safe factoring in surges you would need a minimum 10 awg rated extension cord, under 10 feet long. This is a little overkill, but considering the manufacturer warning to never connect an extension cord it is warranted. After installing a 10 awg 3 foot extension cord I finished the wifi setup in about 2 minutes, can't explain the difficulty some have reported. Smart Life app is fantastic, easily controls the heater. Works great with Alexa. I highly recommend this heater and by the way, so does Consumers Report recommend a similar heater by this manufacturer, rated #2 in it's class.","Reviewed in the United States on October 24, 2021",Fantastic For Size and Price,5.0 out of 5 stars,Color: Wifi
9,"This thing. This thing right here, is pretty damn good. I hung it up in my 24x15 ft garage immediately after I got home at 830pm on a brisk 47 degree evening. It was 59 degrees in the garage when I turned this bad little beast on. Within 8 minutes, I was up to a somewhat pleasurable 64 degrees. After 8 more minutes, that wonderful temp of 69. It pushes heat like a DOT truck pushing snow: as fast and as much as it can, without out a care in the world. Sitting 12 feet away I can feel it's warm wonderous glory wash over me, kinda like when you bite into a gooey freshly baked cinnamon roll, but better, since it just keeps coming. I think I shall definitely keep this, and name it BOB. After the Big Orange Ball in the sky of course.","Reviewed in the United States on October 18, 2019",Why have I not purchased this sooner?,5.0 out of 5 stars,Color: White
